achat	compra
ami	amigo
amie	amiga
année	año
août	agosto
après-midi	tarde
argent	dinero
artefact	artefacto
astronomie	astronomía
avion	avión
aéroport	aeropuerto
banane	plátano
banque	banco
bateau	barco
bibliothèque	biblioteca
biologie	biología
bus	autobús
café	café
cent	cien
chaise	silla
chat	gato
chien	perro
chimie	química
cinq	cinco
cinquante	cincuenta
cinéma	cine
clavier	teclado
client	cliente
compétence	habilidad
contrat	contrato
crime	delito
culture	cultura
danse	danza
deux	dos
dix	diez
dix-huit	dieciocho
dix-neuf	diecinueve
dix-sept	diecisiete
douze	doce
décembre	diciembre
eau	agua
elle	ella
entreprise	empresa
exposition	exposición
facture	factura
fenêtre	ventana
fleur	flor
formation	formación
forêt	bosque
fraternité	fraternidad
fromage	queso
fruit	fruta
frère	hermano
galerie	galería
gare	estación
gouvernement	gobierno
heure	hora
histoire	historia
huit	ocho
hôpital	hospital
hôpital	hospital
hôtel	hotel
imprimante	impresora
jour	día
juillet	julio
juin	junio
justice	justicia
lac	lago
lait	leche
liberté	libertad
livre	libro
livre	libro
loi	ley
loisir	ocio
lune	luna
légumes	verduras
magasin	tienda
maison	casa
marché	mercado
mathématiques	matemáticas
matin	mañana
mer	mar
mille	mil
minute	minuto
montagne	montaña
musique	música
musée	museo
mère	madre
médecin	médico
médicament	medicamento
neige	nieve
neuf	nueve
nous	nosotros
novembre	noviembre
nuage	nube
nuit	noche
octobre	octubre
onze	once
orange	naranja
ordinateur	ordenador
pain	pan
papier	papel
peinture	pintura
pharmacie	farmacia
philosophie	filosofía
photographie	fotografía
physique	física
piscine	piscina
plage	playa
pluie	lluvia
poisson	pescado
policier	policía
politique	política
pomme	manzana
porte	puerta
poulet	pollo
prison	cárcel
psychologie	psicología
père	padre
quarante	cuarenta
quatorze	catorce
quatre	cuatro
quatre-vingt-dix	noventa
quatre-vingts	ochenta
quinze	quince
religion	religión
restaurant	restaurante
rivière	río
réservation	reserva
réunion	reunión
réussite	éxito
salade	ensalada
salaire	sueldo
santé	salud
science	ciencia
sculpture	escultura
seconde	segundo
seize	dieciséis
sept	siete
septembre	septiembre
six	seis
soir	noche
soixante	sesenta
soixante-dix	setenta
soleil	sol
souris	ratón
sport	deporte
stylo	bolígrafo
sœur	hermana
table	mesa
temps	tiempo
thé	té
ticket	boleto
tourisme	turismo
tradition	tradición
train	tren
travail	trabajo
treize	trece
trente	treinta
trois	tres
téléphone	teléfono
vacances	vacaciones
vent	viento
vente	venta
viande	carne
village	pueblo
ville	ciudad
vingt	veinte
voiture	coche
vote	voto
vous	vosotros
voyage	viaje
vélo	bicicleta
échec	fracaso
école	escuela
écran	pantalla
égalité	igualdad
élection	elección
équipe	equipo
étoile	estrella
